ID;Sex;Age;Height;Weight;NOC;Year;Sport;Medal
16;M;28;184;85;FIN;2014;Ice Hockey;Bronze
20;M;20;176;85;NOR;1992;Alpine Skiing;Gold
20;M;20;176;85;NOR;1992;Alpine Skiing;Bronze
20;M;22;176;85;NOR;1994;Alpine Skiing;Silver
20;M;22;176;85;NOR;1994;Alpine Skiing;Bronze
20;M;22;176;85;NOR;1994;Alpine Skiing;Silver
20;M;30;176;85;NOR;2002;Alpine Skiing;Gold
20;M;30;176;85;NOR;2002;Alpine Skiing;Gold
20;M;34;176;85;NOR;2006;Alpine Skiing;Gold
145;M;28;175;70;USA;2014;Figure Skating;Bronze
367;M;28;175;64;JPN;1994;Nordic Combined;Gold
391;M;23;185;102;USA;1924;Ice Hockey;Silver
548;F;23;167;65;RUS;2006;Speed Skating;Bronze
634;M;20;176;82;SUI;1988;Alpine Skiing;Bronze
680;F;30;168;63;URS;1968;Cross Country Skiing;Bronze
702;M;24;184;69;GER;2002;Nordic Combined;Silver
702;M;24;184;69;GER;2002;Nordic Combined;Silver
702;M;28;184;69;GER;2006;Nordic Combined;Silver
705;M;26;190;99;SUI;1992;Bobsleigh;Gold
705;M;26;190;99;SUI;1992;Bobsleigh;Bronze
705;M;28;190;99;SUI;1994;Bobsleigh;Gold
705;M;28;190;99;SUI;1994;Bobsleigh;Silver
706;M;24;200;104;SUI;1994;Bobsleigh;Silver
772;M;24;175;95;CAN;2006;Curling;Gold
840;F;24;164;69;GBR;2014;Curling;Bronze
956;M;27;190;110;GER;2010;Bobsleigh;Silver
1085;M;22;183;88;RUS;2002;Ice Hockey;Bronze
1181;F;18;168;67;CAN;2006;Ice Hockey;Gold
1181;F;23;168;67;CAN;2010;Ice Hockey;Gold
1181;F;26;168;67;CAN;2014;Ice Hockey;Gold
1188;M;24;178;75;USA;2006;Figure Skating;Silver
1322;M;23;175;73;USA;1972;Ice Hockey;Silver
1336;M;32;179;78;SWE;1980;Ice Hockey;Bronze
1340;F;27;177;75;SWE;2002;Ice Hockey;Bronze
1342;M;24;182;90;SWE;1984;Ice Hockey;Bronze
1435;M;24;184;66;FIN;2002;Ski Jumping;Silver
1435;M;28;184;66;FIN;2006;Ski Jumping;Silver
1581;M;24;169;64;JPN;1992;Short Track Speed Skating;Bronze
